,#,Name,Price,24H CHANGE,24H VOLUME,Market Cap
0,1,BBitcoinBTC,"$91,089.45$91,089.45+0.26%",+0.26%,$49.3 B,"$1,802.1 B"
1,2,EEthereumETH,"$3,086.83$3,086.83-0.96%",-0.96%,$25.1 B,$371.73 B
2,3,TTetherUSDT,$0.9993$0.9993-0.26%,-0.26%,$124.12 B,$127.46 B
3,4,SSolanaSOL,$245.55$245.55+3.24%,+3.24%,$8.01 B,$116.54 B
4,5,BBNBBNB,$618.04$618.04-1.96%,-1.96%,$2.11 B,$88.12 B
5,6,XXRPXRP,$1.14$1.14+9.29%,+9.29%,$10.27 B,$65.16 B
6,7,DDogecoinDOGE,$0.3671$0.3671+2.04%,+2.04%,$6.9 B,$53.91 B
7,8,UUSD CoinUSDC,$0.999$0.999+0.17%,+0.17%,$8.02 B,$37.08 B
8,9,CCardanoADA,$0.7536$0.7536+5.68%,+5.68%,$2.08 B,$26.4 B
9,10,TTRONTRX,$0.2011$0.2011+3.03%,+3.03%,$778.82 M,$17.37 B
10,11,WWrapped BitcoinWBTC,"$91,008.19$91,008.19+0.44%",+0.44%,$280.16 M,$14.84 B
11,12,SShiba InuSHIB,$0.00002494$0.00002494+2.38%,+2.38%,$1.24 B,$14.69 B
12,13,AAvalancheAVAX,$35.50$35.50-3.21%,-3.21%,$806.4 M,$14.52 B
13,14,TToncoinTON,$5.46$5.46-0.28%,-0.28%,$275.44 M,$13.91 B
14,15,SSuiSUI,$3.66$3.66-2.71%,-2.71%,$1.71 B,$10.42 B
15,16,CChainlinkLINK,$14.57$14.57+3.26%,+3.26%,$557.39 M,$9.13 B
16,17,PPepePEPE,$0.00002116$0.00002116+2.42%,+2.42%,$4.69 B,$8.9 B
17,18,BBitcoin CashBCH,$444.69$444.69+0.92%,+0.92%,$495.25 M,$8.8 B
18,19,PPolkadotDOT,$5.82$5.82+5.16%,+5.16%,$516.2 M,$8.85 B
19,20,UUNUS SED LEOLEO,$7.74$7.74+0.89%,+0.89%,$1.43 M,$7.16 B
20,21,NNEAR ProtocolNEAR,$5.87$5.87-0.28%,-0.28%,$527.81 M,$7.15 B
21,22,SStellarXLM,$0.2463$0.2463+27.25%,+27.25%,$2.04 B,$7.38 B
22,23,LLitecoinLTC,$91.04$91.04+3.36%,+3.36%,$1.25 B,$6.85 B
23,24,AAptosAPT,$11.90$11.90-4.83%,-4.83%,$440.55 M,$6.34 B
24,25,UUniswapUNI,$9.14$9.14+2.64%,+2.64%,$283.71 M,$5.49 B
25,26,DDaiDAI,$0.9994$0.9994-0.21%,-0.21%,$98.49 M,$5.36 B
26,27,CCronosCRO,$0.1863$0.1863+17.28%,+17.28%,$153.28 M,$5.07 B
27,28,IInternet ComputerICP,$9.25$9.25-3.17%,-3.17%,$193.09 M,$4.39 B
28,29,KKaspaKAS,$0.1708$0.1708+15.77%,+15.77%,$207.7 M,$4.3 B
29,30,HHederaHBAR,$0.1115$0.1115+33.36%,+33.36%,$1.45 B,$4.2 B
